run_id,timestamp,model,dataset,split,normalizer,wer,cer,num_utterances,substitutions,insertions,deletions,rtfx,duration_s
20260409_193713_openai_whisper-medium_cv-corpus-25.0-ga-IE_test,2026-04-09T19:37:13Z,openai/whisper-medium,cv-corpus-25.0-ga-IE,test,irish,129.28,91.78,874,5172,2753,849,3.01,0.0
20260409_200806_openai_whisper-medium_google_fleurs_test,2026-04-09T20:08:06Z,openai/whisper-medium,google/fleurs,test,irish,134.06,87.32,842,18136,9041,919,6.74,0.0
20260409_202956_openai_whisper-large-v2_cv-corpus-25.0-ga-IE_test,2026-04-09T20:29:56Z,openai/whisper-large-v2,cv-corpus-25.0-ga-IE,test,irish,106.0,68.53,874,4997,1354,843,3.26,0.0
20260409_210141_openai_whisper-large-v2_google_fleurs_test,2026-04-09T21:01:41Z,openai/whisper-large-v2,google/fleurs,test,irish,102.84,59.64,842,16396,4153,1003,6.56,0.0
20260409_212452_openai_whisper-large-v3_cv-corpus-25.0-ga-IE_test,2026-04-09T21:24:52Z,openai/whisper-large-v3,cv-corpus-25.0-ga-IE,test,irish,125.62,85.62,874,5349,2248,929,3.06,0.0
20260409_221329_openai_whisper-large-v3_google_fleurs_test,2026-04-09T22:13:29Z,openai/whisper-large-v3,google/fleurs,test,irish,217.82,155.98,842,18812,25928,908,4.28,0.0
20260409_222917_openai_whisper-large-v3-turbo_cv-corpus-25.0-ga-IE_test,2026-04-09T22:29:17Z,openai/whisper-large-v3-turbo,cv-corpus-25.0-ga-IE,test,irish,225.59,159.65,874,5639,8742,930,4.49,0.0
20260409_224741_openai_whisper-large-v3-turbo_google_fleurs_test,2026-04-09T22:47:41Z,openai/whisper-large-v3-turbo,google/fleurs,test,irish,587.56,410.11,842,19120,102951,1063,11.34,0.0
20260409_224859_facebook_mms-1b-all_cv-corpus-25.0-ga-IE_test,2026-04-09T22:48:59Z,facebook/mms-1b-all,cv-corpus-25.0-ga-IE,test,irish,54.25,21.25,874,2992,189,501,140.52,0.0
20260409_224957_facebook_mms-1b-all_google_fleurs_test,2026-04-09T22:49:57Z,facebook/mms-1b-all,google/fleurs,test,irish,61.57,25.97,842,10877,671,1355,241.76,0.0
20260409_225155_kingabzpro_wav2vec2-large-xls-r-1b-Irish_cv-corpus-25.0-ga-IE_test,2026-04-09T22:51:55Z,kingabzpro/wav2vec2-large-xls-r-1b-Irish,cv-corpus-25.0-ga-IE,test,irish,45.79,18.94,874,2591,245,272,156.11,0.0
20260409_225248_kingabzpro_wav2vec2-large-xls-r-1b-Irish_google_fleurs_test,2026-04-09T22:52:48Z,kingabzpro/wav2vec2-large-xls-r-1b-Irish,google/fleurs,test,irish,78.51,38.19,842,13550,1936,967,254.28,0.0
20260409_232314_cpierse_wav2vec2-large-xlsr-53-irish_cv-corpus-25.0-ga-IE_test,2026-04-09T23:23:14Z,cpierse/wav2vec2-large-xlsr-53-irish,cv-corpus-25.0-ga-IE,test,irish,49.36,20.98,874,2814,262,274,314.24,0.0
